title,calc_country,d_startDate,calc_subMinorCategory,calc_lastUpdate,calc_githubURL
Temporary layoff scheme and reimbursement of related wage compensation to employers,Slovenia,03/13/2020,"Income support for people in employment (e.g., short-time work)",07/20/2021,https://static.eurofound.europa.eu/covid19db/cases/SI-2020-11_436.html
Measures to allow self-employed to postpone or avoid the payment of social security contributions,Slovenia,03/13/2020,Deferral of payments or liabilities,07/20/2020,https://static.eurofound.europa.eu/covid19db/cases/SI-2020-11_438.html
Health and safety at work in the epidemic,Slovenia,03/19/2020,Occupational health and safety,01/08/2021,https://static.eurofound.europa.eu/covid19db/cases/SI-2020-12_439.html
Limitation of certain rights of healthcare workers,Slovenia,03/13/2020,Mobilisation of a larger workforce,01/31/2022,https://static.eurofound.europa.eu/covid19db/cases/SI-2020-11_441.html
Suspension of value added tax (VAT) payment ,Cyprus,03/30/2020,Deferral of payments or liabilities,05/06/2020,https://static.eurofound.europa.eu/covid19db/cases/CY-2020-14_442.html
Exemption from companies' obligation to pay pension and disability and contributions and crisis bonus,Slovenia,03/13/2020,Direct subsidies (full or partial) or damage compensation,02/24/2021,https://static.eurofound.europa.eu/covid19db/cases/SI-2020-11_443.html
"One-time solidarity allowance for retired persons, large families and other vulnerable groups",Slovenia,04/30/2020,Protection of vulnerable groups (beyond employment support),01/31/2022,https://static.eurofound.europa.eu/covid19db/cases/SI-2020-18_444.html
Monthly basic income for self-employed,Slovenia,03/13/2020,Extensions of income support to workers not covered by any kind of protection scheme,04/30/2021,https://static.eurofound.europa.eu/covid19db/cases/SI-2020-11_445.html
Temporary suspension of some labour regulations for public servants,Slovenia,03/13/2020,Mobilisation of a larger workforce,06/13/2023,https://static.eurofound.europa.eu/covid19db/cases/SI-2020-11_446.html
Deferred payments of borrowers' obligations and state guarantee,Slovenia,03/13/2020,Deferral of payments or liabilities,01/22/2021,https://static.eurofound.europa.eu/covid19db/cases/SI-2020-11_447.html
ELY centres' business development aid to micro companies ,Finland,03/31/2020,Direct subsidies (full or partial) or damage compensation,10/06/2020,https://static.eurofound.europa.eu/covid19db/cases/FI-2020-14_448.html
Protection of workers and the public,Cyprus,03/16/2020,Occupational health and safety,05/06/2020,https://static.eurofound.europa.eu/covid19db/cases/CY-2020-12_449.html
Reward for employees exposed to risk in March,Italy,03/17/2020,Remuneration and rewards for workers in essential services,05/04/2020,https://static.eurofound.europa.eu/covid19db/cases/IT-2020-12_450.html
"Suspension of tax deductions, social security and welfare contributions and premiums for compulsory insurance",Italy,03/17/2020,Deferral of payments or liabilities,05/04/2020,https://static.eurofound.europa.eu/covid19db/cases/IT-2020-12_451.html
Income protection for the workers' period of quarantine,Italy,03/17/2020,Paid sick leave,05/04/2020,https://static.eurofound.europa.eu/covid19db/cases/IT-2020-12_452.html
Scheme for the remuneration of contract workers and self-employed in the afternoon programmes of the Ministry of Education,Cyprus,03/12/2020,Extensions of income support to workers not covered by any kind of protection scheme,05/06/2020,https://static.eurofound.europa.eu/covid19db/cases/CY-2020-11_453.html
Antivirus employment retention programme,Czechia,04/06/2020,"Income support for people in employment (e.g., short-time work)",03/23/2022,https://static.eurofound.europa.eu/covid19db/cases/CZ-2020-15_454.html
Telecare psychological services  ,Cyprus,03/26/2020,Well-being of workers,07/15/2020,https://static.eurofound.europa.eu/covid19db/cases/CY-2020-13_455.html
Changes in the production of St. Nicolaus Distillery in Leopoldov,Slovakia,03/20/2020,Change of production/Innovation,12/05/2020,https://static.eurofound.europa.eu/covid19db/cases/SK-2020-12_456.html
Government and social partners protocol to ensure safe working conditions at the workplace,Italy,03/14/2020,Occupational health and safety,07/17/2020,https://static.eurofound.europa.eu/covid19db/cases/IT-2020-11_457.html
Replacement income for self-employed (bridging right),Belgium,04/18/2020,Extensions of income support to workers not covered by any kind of protection scheme,06/19/2023,https://static.eurofound.europa.eu/covid19db/cases/BE-2020-16_458.html
Extension of meal/eco/gift/sport/culture cheques,Belgium,03/18/2020,Provision of services in kind (e.g. food vouchers),01/11/2021,https://static.eurofound.europa.eu/covid19db/cases/BE-2020-12_459.html
Food helpers online platform,Austria,03/23/2020,Smoothing frictions or reallocation of workers,11/10/2021,https://static.eurofound.europa.eu/covid19db/cases/AT-2020-13_461.html
Short-time working,France,03/01/2020,"Income support for people in employment (e.g., short-time work)",11/29/2023,https://static.eurofound.europa.eu/covid19db/cases/FR-2020-10_462.html
Civilian service extension and voluntary reactivation,Austria,04/01/2020,Mobilisation of a larger workforce,05/06/2020,https://static.eurofound.europa.eu/covid19db/cases/AT-2020-14_463.html
"Loan instalments deferral for micro, small and medium-sized enterprises affected by the COVID-19 epidemic",Italy,03/17/2020,Deferral of payments or liabilities,05/04/2020,https://static.eurofound.europa.eu/covid19db/cases/IT-2020-12_464.html
Guarantee fund for SMEs,Italy,03/17/2020,Access to finance,01/04/2021,https://static.eurofound.europa.eu/covid19db/cases/IT-2020-12_468.html
State guarantee scheme for new bank loans for a maximum period of 6 years,Luxembourg,03/18/2020,Access to finance,07/21/2021,https://static.eurofound.europa.eu/covid19db/cases/LU-2020-12_469.html
Extension of employment permit for seasonal workers,Austria,03/11/2020,Mobilisation of a larger workforce,05/06/2020,https://static.eurofound.europa.eu/covid19db/cases/AT-2020-11_470.html
"New telework rules: mandatory application, telework allowance and favourable tax treatment",France,03/14/2020,"Teleworking arrangements, remote working",01/20/2022,https://static.eurofound.europa.eu/covid19db/cases/FR-2020-11_473.html
Company subsidy for fixed costs,Austria,03/16/2020,Direct subsidies (full or partial) or damage compensation,06/19/2023,https://static.eurofound.europa.eu/covid19db/cases/AT-2020-12_474.html
Family care leave for family support introduced,Luxembourg,03/18/2020,Support for parents and carers (financial or in kind),08/11/2022,https://static.eurofound.europa.eu/covid19db/cases/LU-2020-12_475.html
Deferral of social security contributions for self-employed,Austria,03/13/2020,Deferral of payments or liabilities,03/02/2023,https://static.eurofound.europa.eu/covid19db/cases/AT-2020-11_477.html
Exceptional support measures for intermittent workers and employees in the cultural sector,France,03/15/2020,Income support for unemployed,07/30/2021,https://static.eurofound.europa.eu/covid19db/cases/FR-2020-12_478.html
Special anti-crisis financing,Luxembourg,03/18/2020,Access to finance,01/31/2022,https://static.eurofound.europa.eu/covid19db/cases/LU-2020-12_479.html
Suspension of the trial period in businesses affected by the crisis,Luxembourg,03/18/2020,Flexibilisation and security,07/14/2020,https://static.eurofound.europa.eu/covid19db/cases/LU-2020-12_480.html
Deferred compulsory settlement or bankruptcy and other measures,Slovenia,03/13/2020,Rescue procedures in case of insolvency or adaptation of insolvency regulation,01/31/2022,https://static.eurofound.europa.eu/covid19db/cases/SI-2020-11_481.html
Restrictions lifted on temporary work in agriculture,Slovenia,04/11/2020,"Change of work arrangements (working time, rota schemes)",01/11/2021,https://static.eurofound.europa.eu/covid19db/cases/SI-2020-15_482.html
"Subsidies for agriculture, forestry and fisheries and mandatory local purchases",Slovenia,03/13/2020,Direct subsidies (full or partial) or damage compensation,12/01/2020,https://static.eurofound.europa.eu/covid19db/cases/SI-2020-11_484.html
Exceptional measures regarding teleworking for cross-border workers,Luxembourg,03/27/2020,"Teleworking arrangements, remote working",06/01/2022,https://static.eurofound.europa.eu/covid19db/cases/LU-2020-13_486.html
Voluntary interruption of parental leave to resume essential professional activity,Luxembourg,03/11/2020,Mobilisation of a larger workforce,05/03/2020,https://static.eurofound.europa.eu/covid19db/cases/LU-2020-11_487.html
Possibility to refuse or cancel leave in essential sectors of activity,Luxembourg,03/11/2020,"Change of work arrangements (working time, rota schemes)",05/03/2020,https://static.eurofound.europa.eu/covid19db/cases/LU-2020-11_488.html
Temporary derogation from working hours in essential services,France,03/26/2020,"Change of work arrangements (working time, rota schemes)",02/14/2021,https://static.eurofound.europa.eu/covid19db/cases/FR-2020-13_490.html
"Derogation from the taking of leave and rest breaks, daily and weekly working time",France,03/26/2020,"Change of work arrangements (working time, rota schemes)",07/30/2021,https://static.eurofound.europa.eu/covid19db/cases/FR-2020-13_491.html
Country for the Future - Innovation to practice (COVID) - Digitalisation and innovations ,Czechia,04/03/2020,Change of production/Innovation,10/27/2020,https://static.eurofound.europa.eu/covid19db/cases/CZ-2020-14_492.html
COVID-19: Income support for workers,Bulgaria,03/13/2020,"Income support for people in employment (e.g., short-time work)",06/13/2023,https://static.eurofound.europa.eu/covid19db/cases/BG-2020-11_494.html
COVID-19 measure: Business tax relief,Bulgaria,04/13/2020,Deferral of payments or liabilities,03/06/2023,https://static.eurofound.europa.eu/covid19db/cases/BG-2020-16_495.html
COVID-19: Unemployed can take seasonal work in agriculture without loss of benefits,Bulgaria,04/05/2020,Income support for unemployed,03/06/2023,https://static.eurofound.europa.eu/covid19db/cases/BG-2020-15_496.html
COVID-19: Credit guarantees to commercial banks by Bulgarian Development Bank (BDB),Bulgaria,03/13/2020,Access to finance,05/26/2022,https://static.eurofound.europa.eu/covid19db/cases/BG-2020-11_497.html
COVID-19: Interest-free credit guarantee programme for individuals,Bulgaria,04/13/2020,Preventing over-indebtedness,10/18/2021,https://static.eurofound.europa.eu/covid19db/cases/BG-2020-16_498.html
COVID-19: Assistance for parents taking unpaid leave due to a state of emergency,Bulgaria,03/13/2020,Support for parents and carers (financial or in kind),06/13/2023,https://static.eurofound.europa.eu/covid19db/cases/BG-2020-11_499.html
"Contingency fund to protect the elderly dependent, disabled and homeless persons",Spain,03/17/2020,Protection of vulnerable groups (beyond employment support),10/17/2021,https://static.eurofound.europa.eu/covid19db/cases/ES-2020-12_500.html
COVID-19: Assisting artists and freelancers,Bulgaria,03/13/2020,Extensions of income support to workers not covered by any kind of protection scheme,07/13/2021,https://static.eurofound.europa.eu/covid19db/cases/BG-2020-11_501.html
Guarantee of water and energy supply to vulnerable consumers,Spain,03/18/2020,Keeping or obtaining a safe home,01/26/2022,https://static.eurofound.europa.eu/covid19db/cases/ES-2020-12_502.html
Preference for remote work,Spain,03/18/2020,"Teleworking arrangements, remote working",11/27/2020,https://static.eurofound.europa.eu/covid19db/cases/ES-2020-12_503.html
Right to flexible schedule and reduction of working hours for workers with care responsibilities,Spain,03/17/2020,Support for parents and carers (financial or in kind),11/27/2020,https://static.eurofound.europa.eu/covid19db/cases/ES-2020-12_504.html
Mortgage debt moratorium,Spain,03/18/2020,Keeping or obtaining a safe home,11/25/2020,https://static.eurofound.europa.eu/covid19db/cases/ES-2020-12_505.html
Work stoppage to care for a child under 16 years of age,France,03/11/2020,Support for parents and carers (financial or in kind),01/20/2022,https://static.eurofound.europa.eu/covid19db/cases/FR-2020-11_509.html
 Exceptional purchasing power bonus for essential services employees,France,04/02/2020,Remuneration and rewards for workers in essential services,05/18/2021,https://static.eurofound.europa.eu/covid19db/cases/FR-2020-14_511.html
